CL ID	"Latitude (Decimal Degrees, NAD83)"	"Longitude (Decimal Degrees, NAD83)"	Region	Location	"Time Period (Month, Year)"	NO3 (uM) (SUNA) SA	NH4 (uM) (Tline) SA	Water Temp (deg. C) (EXO) SA	Sp Cond (uS/cm) (EXO) SA	pH (EXO) SA	DO (mg/L) (EXO) SA	DO (%sat) (EXO) SA	Turb (FNU) (EXO) SA	fCHL (ug/L) (EXO) SA	fDOM (QSU) (EXO) SA	fCHL (ug/L) (WS) SA	Water Temp (deg. C) (TSG) SA	Cond (uS/cm) (TSG) SA	Salinity (PSU) (TSG) SA	Green Algae (ug/L) (FP) SA	Bluegreen (ug/L) (FP) SA	Diatoms (ug/L) (FP) SA	Cryptophyta (ug/L) (FP) SA	Total Conc (ug/L) (FP) SA	Green Algae (%) (FP) SA	Bluegreen (%) (FP) SA	Diatoms (%) (FP) SA	Cryptophyta (%) (FP) SA	estDIN (uM) SA	estDOC (mg-C/L) SA	estDON (uM) SA	estTDN (uM) SA	Orthophosphate (uM) SA
A2111	38.23068	-121.67339	Cache Slough Complex	Sacramento Deep Water Shipping Channel	May-2022	7.05	1.37	18.93	174.27	8.16	8.98	96.68	8.85	3.51	17.50	4.17	18.88	155.9	0.09	0.26	1.16	2.37	0.40	4.24	3.19	37.15	51.51	7.21	8.43	1.94	10.60	19.03	1.06
A2524	38.23212	-121.67573	Cache Slough Complex	Cache Slough	May-2022	5.95	1.36	18.82	183.59	8.23	8.86	95.19	10.43	3.01	18.91	3.38	18.77	163.1	0.09	0.01	1.40	1.41	0.15	2.97	0.14	48.31	46.65	4.76	7.31	2.04	11.16	18.47	1.05
A2109	38.23403	-121.67406	Cache Slough Complex	Sacramento Deep Water Shipping Channel	May-2022	5.49	1.29	18.93	182.97	8.29	8.93	96.21	10.69	3.44	18.40	3.85	18.92	158.3	0.09	0.07	1.36	1.78	0.22	3.43	0.99	44.06	49.55	5.59	6.77	2.00	10.96	17.74	1.04
A2521	38.23483	-121.67978	Cache Slough Complex	Cache Slough	May-2022	5.27	1.31	18.78	187.34	8.26	8.72	93.63	12.65	2.92	19.51	3.24	18.71	167.5	0.09	0.00	1.57	1.22	0.08	2.85	0.00	53.31	43.67	3.33	6.58	2.08	11.40	17.98	1.05
A2519	38.23681	-121.68174	Cache Slough Complex	Cache Slough	May-2022	4.05	1.25	18.80	191.88	8.34	8.69	93.30	15.02	2.95	20.05	3.21	18.72	171.9	0.09	0.00	1.71	1.25	0.07	3.03	0.00	55.84	41.42	2.42	5.30	2.12	11.62	16.92	1.05
A2517	38.23906	-121.68464	Cache Slough Complex	Cache Slough	May-2022	4.78	1.17	18.75	187.91	8.28	8.72	93.52	12.92	3.12	19.68	3.45	18.66	168.4	0.09	0.05	1.59	1.71	0.06	3.43	1.09	47.96	48.27	1.98	5.95	2.10	11.47	17.42	1.05
A2363	38.24274	-121.67656	Cache Slough Complex	Prospect Slough	May-2022	1.84	1.11	18.82	199.77	8.49	8.68	93.32	17.39	2.98	20.87	3.14	18.76	177.3	0.10	0.00	1.85	1.21	0.02	3.07	0.00	58.29	40.32	1.09	2.94	2.18	11.95	14.89	1.10
A2513	38.24260	-121.68490	Cache Slough Complex	Cache Slough	May-2022	5.51	0.91	18.66	183.49	8.23	8.86	94.91	10.50	3.02	19.15	3.42	18.58	163.9	0.09	0.02	1.44	1.81	0.09	3.35	0.36	43.55	53.15	2.91	6.42	2.06	11.26	17.68	1.08
A2622	38.24401	-121.69406	Cache Slough Complex	Lindsey Slough	May-2022	6.39	0.28	18.71	185.65	8.14	8.77	94.06	5.97	2.53	20.88	2.76	18.63	166.7	0.09	0.02	1.14	0.68	0.28	2.13	0.45	55.98	29.19	14.25	6.68	2.18	11.95	18.63	1.20
A2511	38.24426	-121.68873	Cache Slough Complex	Cache Slough	May-2022	6.65	0.39	18.65	181.27	8.14	8.87	94.98	6.63	2.65	19.55	2.97	18.58	162.6	0.09	0.00	1.16	1.14	0.25	2.55	0.00	47.85	41.33	10.88	7.04	2.09	11.42	18.46	1.14
A2361	38.24573	-121.67562	Cache Slough Complex	Prospect Slough	May-2022	1.41	0.81	18.83	202.57	8.52	8.56	91.97	18.19	3.00	21.30	3.15	18.76	180.1	0.10	0.02	1.88	1.16	0.05	3.14	0.25	61.08	36.12	1.37	2.22	2.22	12.12	14.34	1.21
A2617	38.24672	-121.70150	Cache Slough Complex	Lindsey Slough	May-2022	5.76	1.01	18.77	190.54	8.18	8.67	93.07	5.26	2.45	21.72	2.54	18.69	170.5	0.09	0.00	1.15	0.69	0.19	1.99	0.00	57.63	33.44	9.94	6.77	2.25	12.29	19.06	1.39
A2509	38.24670	-121.68707	Cache Slough Complex	Cache Slough	May-2022	6.17	0.41	18.64	182.02	8.17	8.92	95.46	7.39	2.65	19.30	2.96	18.56	163.0	0.09	0.00	1.22	1.16	0.22	2.60	0.01	49.52	40.61	10.23	6.58	2.07	11.32	17.90	1.17
A2615	38.24677	-121.70495	Cache Slough Complex	Lindsey Slough	May-2022	5.61	1.11	18.79	192.45	8.20	8.68	93.28	5.23	2.66	21.98	2.67	18.71	172.3	0.10	0.08	1.11	0.66	0.22	2.09	2.92	54.77	30.49	11.12	6.73	2.27	12.39	19.12	1.49
A2613	38.24691	-121.70828	Cache Slough Complex	Lindsey Slough	May-2022	5.56	1.17	18.82	195.06	8.22	8.67	93.17	5.24	2.77	22.50	2.76	18.74	174.7	0.10	0.23	1.07	0.71	0.25	2.30	7.35	49.65	29.17	12.17	6.74	2.31	12.60	19.34	1.61
A2359	38.24811	-121.67422	Cache Slough Complex	Prospect Slough	May-2022	1.16	0.68	18.81	204.33	8.54	8.50	91.32	18.82	2.93	21.60	3.07	18.74	182.0	0.10	0.01	1.91	1.08	0.04	3.08	0.13	63.35	33.99	1.32	1.84	2.24	12.24	14.08	1.27
A2611	38.24830	-121.71046	Cache Slough Complex	Lindsey Slough	May-2022	5.62	1.17	18.82	196.94	8.23	8.70	93.49	5.13	2.66	22.94	2.68	18.75	176.7	0.10	0.20	1.04	0.60	0.29	2.16	6.29	51.82	24.73	15.78	6.78	2.34	12.78	19.54	1.74
A2507	38.24954	-121.68753	Cache Slough Complex	Cache Slough	May-2022	5.79	0.36	18.65	183.69	8.18	8.90	95.34	7.49	2.57	19.49	2.81	18.57	164.8	0.09	0.01	1.20	0.91	0.26	2.37	0.20	54.13	32.61	13.24	6.14	2.08	11.39	17.54	1.24
A2607	38.24961	-121.71665	Cache Slough Complex	Lindsey Slough	May-2022	5.90	1.24	18.84	201.41	8.25	8.69	93.39	5.00	2.25	24.14	2.37	18.77	181.0	0.10	0.02	1.06	0.29	0.35	1.74	0.68	61.88	16.03	20.42	7.14	2.43	13.25	20.40	1.97
A2609	38.25034	-121.71303	Cache Slough Complex	Lindsey Slough	May-2022	5.73	1.16	18.83	199.02	8.24	8.72	93.71	5.01	2.37	23.47	2.46	18.75	178.9	0.10	0.08	1.02	0.35	0.35	1.82	2.36	58.83	17.21	20.98	6.87	2.38	12.99	19.83	1.88
A2357	38.25064	-121.67297	Cache Slough Complex	Prospect Slough	May-2022	1.09	0.64	18.81	207.09	8.58	8.42	90.52	19.17	2.90	22.10	3.01	18.73	184.2	0.10	0.02	1.88	0.88	0.07	2.89	0.23	67.58	28.53	2.56	1.73	2.28	12.44	14.17	1.37
A2605	38.25113	-121.71955	Cache Slough Complex	Lindsey Slough	May-2022	6.33	1.25	18.85	203.98	8.25	8.70	93.51	4.92	2.27	24.78	2.42	18.77	183.3	0.10	0.00	1.08	0.28	0.36	1.73	0.05	62.54	15.96	20.82	7.58	2.47	13.51	21.09	2.12
A2603	38.25163	-121.72333	Cache Slough Complex	Lindsey Slough	May-2022	6.92	1.35	18.86	206.71	8.24	8.70	93.58	4.87	2.33	25.46	2.49	18.78	185.6	0.10	0.00	1.10	0.35	0.38	1.83	0.00	60.29	19.10	20.69	8.28	2.52	13.78	22.06	2.28
A2505	38.25241	-121.68761	Cache Slough Complex	Cache Slough	May-2022	4.98	0.30	18.68	187.51	8.21	8.85	94.89	7.62	2.39	19.96	2.52	18.60	168.1	0.09	0.00	1.17	0.44	0.31	1.92	0.11	62.71	19.21	18.33	5.29	2.12	11.58	16.87	1.42
A2601	38.25336	-121.72492	Cache Slough Complex	Lindsey Slough	May-2022	7.54	1.35	18.85	208.83	8.23	8.68	93.39	4.90	2.39	26.00	2.57	18.78	187.5	0.10	0.00	1.13	0.42	0.38	1.92	0.00	59.05	21.51	19.86	8.90	2.56	14.00	22.90	2.43
A2355	38.25335	-121.67199	Cache Slough Complex	Prospect Slough	May-2022	0.99	0.70	18.82	210.50	8.62	8.36	89.82	17.41	2.75	22.76	2.82	18.73	187.0	0.10	0.01	1.75	0.58	0.13	2.48	0.19	72.95	21.02	5.35	1.70	2.32	12.70	14.40	1.49
A2503	38.25534	-121.68794	Cache Slough Complex	Cache Slough	May-2022	4.74	0.34	18.68	188.72	8.22	8.83	94.61	7.69	2.35	20.12	2.45	18.60	169.2	0.09	0.00	1.16	0.35	0.32	1.82	0.00	64.47	16.96	19.07	5.08	2.13	11.65	16.73	1.53
A2599	38.25597	-121.72525	Cache Slough Complex	Lindsey Slough	May-2022	8.25	1.20	18.84	211.02	8.23	8.71	93.65	4.98	2.46	26.52	2.68	18.76	189.4	0.10	0.00	1.19	0.49	0.36	2.03	0.03	58.57	23.98	17.71	9.45	2.60	14.21	23.66	2.59
A2353	38.25615	-121.67167	Cache Slough Complex	Prospect Slough	May-2022	0.68	0.79	18.80	213.77	8.65	8.30	89.16	15.13	2.54	23.37	2.56	18.72	190.6	0.10	0.00	1.63	0.40	0.13	2.17	0.03	75.67	18.18	5.97	1.48	2.37	12.95	14.43	1.69
A2590	38.25609	-121.73675	Cache Slough Complex	Lindsey Slough	May-2022	10.69	1.83	18.68	218.63	8.17	8.72	93.46	5.08	2.65	27.81	2.94	18.60	195.7	0.11	0.00	1.36	0.75	0.27	2.39	0.00	56.88	31.10	11.53	12.52	2.70	14.73	27.24	2.96
A2592	38.25682	-121.73392	Cache Slough Complex	Lindsey Slough	May-2022	10.26	1.67	18.75	216.49	8.18	8.68	93.19	5.03	2.61	27.60	2.88	18.66	194.0	0.11	0.00	1.32	0.67	0.30	2.31	0.00	57.36	29.00	13.05	11.93	2.68	14.64	26.57	2.85
A2595	38.25699	-121.72959	Cache Slough Complex	Lindsey Slough	May-2022	9.36	1.41	18.80	213.77	8.20	8.67	93.19	5.02	2.53	27.14	2.79	18.72	191.8	0.11	0.00	1.26	0.59	0.32	2.18	0.00	57.81	27.10	15.08	10.77	2.65	14.46	25.23	2.73
A2501	38.25684	-121.69100	Cache Slough Complex	Cache Slough	May-2022	5.07	0.61	18.68	188.12	8.20	8.85	94.86	6.49	2.38	20.16	2.51	18.60	169.0	0.09	0.05	1.08	0.31	0.34	1.77	1.36	63.26	15.60	20.41	5.68	2.13	11.66	17.34	1.66
A2588	38.25821	-121.73826	Cache Slough Complex	Lindsey Slough	May-2022	10.82	1.83	18.64	219.92	8.16	8.73	93.51	5.07	2.65	27.88	2.99	18.56	196.7	0.11	0.00	1.39	0.78	0.25	2.44	0.00	57.17	31.95	10.49	12.64	2.70	14.75	27.39	3.08
A2597	38.25851	-121.72652	Cache Slough Complex	Lindsey Slough	May-2022	9.16	1.21	18.81	213.53	8.21	8.72	93.73	4.99	2.52	27.07	2.79	18.73	191.6	0.11	0.00	1.25	0.58	0.33	2.16	0.04	58.04	26.49	15.59	10.37	2.64	14.43	24.80	2.76
A2582	38.25858	-121.74674	Cache Slough Complex	Lindsey Slough	May-2022	10.22	2.02	18.51	222.03	8.14	8.65	92.44	5.30	2.70	27.75	3.04	18.43	197.9	0.11	0.02	1.51	0.90	0.15	2.60	0.61	57.99	34.49	6.11	12.23	2.69	14.70	26.92	3.23
A2499	38.25835	-121.69399	Cache Slough Complex	Cache Slough	May-2022	4.87	0.83	18.67	189.34	8.21	8.83	94.58	6.35	2.33	20.38	2.43	18.59	170.0	0.09	0.03	1.06	0.25	0.34	1.68	0.78	64.98	13.34	21.15	5.69	2.15	11.75	17.45	1.79
A2584	38.25896	-121.74312	Cache Slough Complex	Lindsey Slough	May-2022	10.58	1.93	18.57	221.20	8.15	8.69	92.92	5.13	2.65	27.83	3.01	18.49	197.5	0.11	0.00	1.44	0.83	0.22	2.50	0.04	57.62	33.26	8.85	12.50	2.70	14.73	27.24	3.16
A2351	38.25895	-121.67074	Cache Slough Complex	Prospect Slough	May-2022	0.58	0.84	18.77	214.56	8.65	8.29	88.97	14.75	2.48	23.51	2.51	18.70	191.8	0.11	0.00	1.62	0.41	0.11	2.15	0.01	75.58	18.96	5.22	1.43	2.38	13.00	14.43	1.80
A2586	38.25991	-121.74012	Cache Slough Complex	Lindsey Slough	May-2022	10.83	1.76	18.63	220.41	8.16	8.74	93.57	5.04	2.65	27.91	3.01	18.55	197.1	0.11	0.00	1.40	0.78	0.26	2.44	0.03	57.55	31.70	10.52	12.60	2.71	14.76	27.36	3.15
A2435	38.26007	-121.69202	Cache Slough Complex	Shag Slough	May-2022	4.58	0.81	18.66	190.51	8.23	8.81	94.32	6.74	2.26	20.53	2.34	18.57	171.0	0.09	0.00	1.09	0.20	0.33	1.61	0.00	67.53	12.29	20.59	5.40	2.16	11.81	17.21	1.88
A2580	38.26076	-121.74809	Cache Slough Complex	Lindsey Slough	May-2022	10.16	1.95	18.49	222.48	8.13	8.65	92.38	5.30	2.72	27.77	3.07	18.40	198.2	0.11	0.02	1.51	0.89	0.17	2.61	0.76	57.79	34.13	6.55	12.10	2.70	14.71	26.80	3.29
A2577	38.26014	-121.75326	Cache Slough Complex	Lindsey Slough	May-2022	9.89	2.02	18.41	223.22	8.11	8.67	92.42	5.55	2.88	27.73	3.15	18.32	198.4	0.11	0.06	1.55	0.98	0.11	2.76	2.33	56.04	35.71	3.97	11.85	2.69	14.69	26.53	3.34
A2349	38.26180	-121.66981	Cache Slough Complex	Prospect Slough	May-2022	0.50	1.02	18.73	215.47	8.67	8.27	88.70	15.52	2.51	23.60	2.54	18.65	192.6	0.11	0.00	1.70	0.52	0.05	2.28	0.02	74.52	22.54	2.15	1.52	2.39	13.04	14.56	2.07
A2433	38.26279	-121.69156	Cache Slough Complex	Shag Slough	May-2022	4.27	0.87	18.65	192.16	8.26	8.78	94.07	6.91	2.26	20.82	2.33	18.56	172.5	0.10	0.00	1.10	0.17	0.33	1.59	0.00	68.67	10.91	20.63	5.13	2.18	11.93	17.06	2.01
A2347	38.26475	-121.66977	Cache Slough Complex	Prospect Slough	May-2022	0.51	1.08	18.71	215.13	8.66	8.29	88.95	16.18	2.54	23.52	2.59	18.63	192.4	0.11	0.00	1.75	0.59	0.03	2.39	0.01	73.46	24.37	1.20	1.59	2.38	13.01	14.59	2.20
A2431	38.26524	-121.69288	Cache Slough Complex	Shag Slough	May-2022	3.99	0.92	18.63	193.33	8.28	8.81	94.26	6.63	2.26	21.09	2.33	18.55	173.5	0.10	0.00	1.08	0.16	0.34	1.59	0.00	67.94	10.24	21.49	4.88	2.20	12.04	16.93	2.16
A2345	38.26692	-121.66860	Cache Slough Complex	Prospect Slough	May-2022	0.53	1.08	18.71	214.99	8.66	8.34	89.48	16.57	2.57	23.45	2.63	18.63	192.3	0.11	0.00	1.78	0.64	0.02	2.47	0.00	72.35	25.58	0.88	1.60	2.38	12.98	14.58	2.34
A2429	38.26833	-121.69370	Cache Slough Complex	Shag Slough	May-2022	3.31	0.88	18.60	195.91	8.32	8.85	94.71	6.32	2.25	21.48	2.32	18.52	175.8	0.10	0.00	1.07	0.19	0.34	1.60	0.00	66.28	12.06	21.49	4.17	2.23	12.19	16.37	2.52
A2343	38.26971	-121.66737	Cache Slough Complex	Prospect Slough	May-2022	0.48	0.92	18.73	215.65	8.67	8.44	90.52	16.99	2.62	23.49	2.67	18.65	192.4	0.11	0.00	1.79	0.67	0.02	2.51	0.01	71.55	26.62	0.61	1.40	2.38	12.99	14.40	2.51
A2427	38.27109	-121.69511	Cache Slough Complex	Shag Slough	May-2022	3.18	0.88	18.58	196.48	8.33	8.94	95.63	5.68	2.24	21.51	2.30	18.50	176.6	0.10	0.00	1.02	0.22	0.34	1.59	0.01	64.13	13.93	21.37	4.07	2.23	12.20	16.26	2.77
A2341	38.27240	-121.66596	Cache Slough Complex	Prospect Slough	May-2022	0.48	0.46	18.80	217.62	8.71	8.51	91.41	15.93	2.61	23.89	2.64	18.71	194.1	0.11	0.00	1.68	0.59	0.04	2.34	0.01	71.99	25.10	1.74	0.95	2.41	13.16	14.10	2.82
A2425	38.27394	-121.69579	Cache Slough Complex	Shag Slough	May-2022	2.92	0.79	18.58	201.05	8.36	9.05	96.77	5.25	2.23	22.07	2.28	18.52	182.6	0.10	0.00	0.99	0.23	0.35	1.58	0.00	62.67	14.64	22.11	3.73	2.27	12.43	16.14	3.25
A2339	38.27532	-121.66529	Cache Slough Complex	Prospect Slough	May-2022	0.48	0.30	18.84	218.62	8.72	8.50	91.42	14.98	2.55	24.15	2.60	18.75	195.3	0.11	0.00	1.62	0.54	0.07	2.24	0.00	72.20	23.88	3.05	0.81	2.43	13.26	14.08	2.97
A2423	38.27692	-121.69515	Cache Slough Complex	Shag Slough	May-2022	2.74	0.70	18.60	204.69	8.38	9.10	97.37	5.02	2.23	22.56	2.29	18.54	186.5	0.10	0.00	0.98	0.22	0.37	1.57	0.00	61.82	14.26	23.49	3.46	2.31	12.62	16.06	3.50
A2337	38.27824	-121.66489	Cache Slough Complex	Prospect Slough	May-2022	0.49	0.19	18.88	219.93	8.74	8.54	91.88	13.62	2.46	24.53	2.53	18.80	197.2	0.11	0.00	1.54	0.50	0.11	2.16	0.00	71.41	23.03	5.28	0.78	2.46	13.41	14.27	3.25
A2421	38.27974	-121.69432	Cache Slough Complex	Shag Slough	May-2022	2.27	0.46	18.65	214.56	8.43	9.20	98.52	4.45	2.29	23.92	2.42	18.60	197.0	0.11	0.00	0.94	0.27	0.43	1.64	0.01	57.86	16.12	26.19	2.74	2.41	13.17	15.90	4.03
A2335	38.28111	-121.66455	Cache Slough Complex	Prospect Slough	May-2022	0.49	0.17	18.91	220.33	8.75	8.59	92.52	13.43	2.45	24.63	2.53	18.82	197.7	0.11	0.00	1.55	0.52	0.12	2.19	0.00	70.86	23.60	5.47	0.82	2.46	13.45	14.40	3.38
A2419	38.28245	-121.69300	Cache Slough Complex	Shag Slough	May-2022	1.96	0.33	18.77	226.98	8.45	9.17	98.51	4.32	2.44	25.62	2.61	18.74	210.8	0.12	0.00	0.97	0.39	0.48	1.82	0.00	53.85	20.57	26.28	2.27	2.54	13.85	16.12	4.25
A2252	38.28432	-121.66362	Cache Slough Complex	Toe Drain	May-2022	0.47	0.14	18.99	220.80	8.79	8.75	94.37	13.27	2.46	24.75	2.52	18.89	198.2	0.11	0.00	1.56	0.50	0.14	2.21	0.02	70.44	22.66	6.60	0.97	2.47	13.50	14.72	3.63
A2417	38.28533	-121.69276	Cache Slough Complex	Shag Slough	May-2022	1.79	0.27	18.87	237.94	8.45	9.15	98.51	4.03	2.59	27.06	2.82	18.83	220.2	0.12	0.00	0.98	0.55	0.55	2.06	0.00	48.95	25.11	26.65	2.06	2.64	14.43	16.48	4.55
A2332	38.28597	-121.66513	Cache Slough Complex	Prospect Slough	May-2022	0.53	0.16	19.04	222.29	8.80	8.81	95.08	13.09	2.47	24.98	2.53	18.95	199.7	0.11	0.00	1.56	0.52	0.16	2.25	0.00	69.29	23.20	7.17	1.06	2.49	13.59	14.93	3.75
A2415	38.28822	-121.69277	Cache Slough Complex	Shag Slough	May-2022	1.61	0.28	19.06	260.21	8.43	9.09	98.23	3.61	2.99	29.97	3.39	19.00	238.8	0.13	0.00	1.01	1.01	0.74	2.75	0.00	37.92	35.41	27.06	1.89	2.86	15.59	17.47	5.19
A2330	38.28893	-121.66555	Cache Slough Complex	Prospect Slough	May-2022	0.55	0.17	19.09	223.80	8.80	8.78	94.81	13.13	2.48	25.27	2.55	19.00	200.8	0.11	0.00	1.55	0.52	0.18	2.26	0.00	68.62	22.79	8.33	1.16	2.51	13.71	15.12	3.85
A2413	38.29113	-121.69278	Cache Slough Complex	Shag Slough	May-2022	1.59	0.29	19.11	268.40	8.41	9.07	98.15	3.50	3.19	31.05	3.70	19.04	245.8	0.13	0.00	1.02	1.28	0.83	3.12	0.00	33.60	39.89	26.60	1.87	2.94	16.02	17.89	5.53
A2327	38.29303	-121.66714	Cache Slough Complex	Liberty Cut	May-2022	0.79	0.20	19.09	229.23	8.76	8.59	92.77	12.86	2.56	26.41	2.64	19.01	205.7	0.11	0.00	1.50	0.52	0.25	2.26	0.00	66.37	22.86	10.96	1.35	2.59	14.16	15.54	4.07
A2411	38.29403	-121.69278	Cache Slough Complex	Shag Slough	May-2022	1.68	0.27	19.14	283.29	8.36	9.00	97.37	3.46	3.65	33.20	4.33	19.06	259.3	0.14	0.00	1.07	1.82	0.96	3.86	0.00	28.44	46.43	24.97	1.94	3.10	16.88	18.83	6.28
A2325	38.29592	-121.66714	Cache Slough Complex	Liberty Cut	May-2022	1.12	0.23	19.19	230.85	8.74	8.26	89.44	12.46	2.55	27.14	2.62	19.09	208.4	0.11	0.00	1.43	0.39	0.29	2.11	0.00	67.95	18.26	14.08	1.52	2.65	14.46	15.89	4.20
A2409	38.29692	-121.69278	Cache Slough Complex	Shag Slough	May-2022	1.77	0.25	19.13	290.43	8.32	8.94	96.72	3.50	3.87	34.34	4.67	19.05	265.7	0.14	0.01	1.11	2.10	1.00	4.24	0.23	26.86	48.81	23.74	2.02	3.18	17.33	19.36	6.66
A2323	38.29882	-121.66714	Cache Slough Complex	Liberty Cut	May-2022	1.26	0.24	19.30	230.34	8.75	8.09	87.83	12.12	2.51	27.28	2.57	19.20	208.7	0.11	0.00	1.40	0.30	0.31	2.01	0.00	69.87	14.73	15.80	1.60	2.66	14.51	16.04	4.25
A2407	38.29983	-121.69279	Cache Slough Complex	Shag Slough	May-2022	1.88	0.25	19.11	304.86	8.23	8.80	95.12	3.70	4.31	36.74	5.35	19.02	278.2	0.15	0.16	1.18	2.64	1.10	5.11	2.73	24.15	51.07	21.56	2.13	3.36	18.30	20.42	7.39
A2321	38.30175	-121.66715	Cache Slough Complex	Liberty Cut	May-2022	1.43	0.25	19.51	230.20	8.77	7.86	85.73	11.17	2.41	27.60	2.44	19.41	209.1	0.11	0.00	1.32	0.10	0.36	1.78	0.00	73.78	5.85	20.49	1.70	2.68	14.64	16.33	4.31
A2405	38.30272	-121.69280	Cache Slough Complex	Shag Slough	May-2022	1.99	0.27	19.10	311.55	8.18	8.71	94.20	3.87	4.47	37.88	5.61	19.02	283.8	0.15	0.27	1.22	2.82	1.14	5.47	4.50	23.22	50.93	20.95	2.27	3.44	18.75	21.01	7.73
A2319	38.30463	-121.66716	Cache Slough Complex	Liberty Cut	May-2022	1.46	0.25	19.56	231.64	8.77	7.86	85.73	10.56	2.38	27.93	2.40	19.47	210.1	0.11	0.00	1.28	0.04	0.38	1.70	0.00	74.65	2.87	22.19	1.72	2.71	14.77	16.49	4.32
A2403	38.30563	-121.69281	Cache Slough Complex	Shag Slough	May-2022	2.14	0.37	19.12	318.71	8.12	8.56	92.61	4.22	4.57	39.06	5.74	19.04	289.5	0.16	0.35	1.28	2.91	1.12	5.67	6.02	23.29	50.70	19.71	2.52	3.53	19.22	21.75	8.03
A2317	38.30753	-121.66717	Cache Slough Complex	Liberty Cut	May-2022	1.48	0.25	19.59	233.92	8.77	7.88	86.02	10.04	2.36	28.35	2.38	19.50	212.1	0.11	0.00	1.24	0.01	0.38	1.65	0.00	74.71	1.19	23.31	1.74	2.74	14.94	16.67	4.32
A2401	38.30854	-121.69281	Cache Slough Complex	Shag Slough	May-2022	2.49	0.62	19.18	329.01	8.03	8.23	89.13	4.98	4.56	40.71	5.66	19.10	297.7	0.16	0.39	1.36	2.85	0.98	5.57	6.86	25.16	50.67	17.42	3.13	3.65	19.88	23.11	8.38
A2315	38.31043	-121.66718	Cache Slough Complex	Liberty Cut	May-2022	1.52	0.25	19.62	239.05	8.76	7.99	87.24	9.16	2.31	28.94	2.35	19.53	216.8	0.12	0.00	1.15	0.01	0.40	1.58	0.00	72.44	1.40	25.08	1.77	2.78	15.18	16.94	4.30
A2399	38.31143	-121.69281	Cache Slough Complex	Shag Slough	May-2022	2.55	0.70	19.21	331.80	7.99	8.07	87.49	5.38	4.48	41.16	5.52	19.13	299.7	0.16	0.33	1.38	2.76	0.89	5.35	6.06	26.38	51.19	16.56	3.30	3.69	20.06	23.48	8.37
A2313	38.31333	-121.66719	Cache Slough Complex	Liberty Cut	May-2022	1.57	0.24	19.61	241.55	8.76	8.06	88.00	8.75	2.28	29.08	2.34	19.53	219.2	0.12	0.00	1.12	0.03	0.41	1.57	0.00	70.92	2.40	25.91	1.82	2.79	15.23	17.05	4.28
A2397	38.31435	-121.69296	Cache Slough Complex	Shag Slough	May-2022	2.54	0.69	19.16	331.67	7.95	7.90	85.51	6.03	4.26	41.33	5.20	19.07	298.2	0.16	0.17	1.36	2.55	0.78	4.85	3.22	28.71	52.37	15.92	3.27	3.70	20.13	23.47	8.04
A2311	38.31623	-121.66720	Cache Slough Complex	Liberty Cut	May-2022	1.68	0.24	19.53	246.66	8.72	8.19	89.27	8.03	2.28	29.26	2.36	19.47	223.6	0.12	0.00	1.08	0.12	0.43	1.63	0.00	65.87	7.50	26.47	1.92	2.81	15.31	17.22	4.23
A2395	38.31722	-121.69299	Cache Slough Complex	Shag Slough	May-2022	2.52	0.71	19.12	330.15	7.93	7.82	84.61	6.40	4.12	41.23	4.98	19.02	295.8	0.16	0.09	1.35	2.37	0.73	4.53	1.86	30.33	52.03	15.90	3.25	3.69	20.09	23.38	7.77
A2309	38.31914	-121.66721	Cache Slough Complex	Liberty Cut	May-2022	1.70	0.24	19.46	249.26	8.70	8.23	89.58	7.92	2.31	29.47	2.39	19.41	225.7	0.12	0.00	1.08	0.19	0.44	1.70	0.00	62.29	10.88	26.11	1.94	2.82	15.39	17.32	4.20
A2393	38.32014	-121.69301	Cache Slough Complex	Shag Slough	May-2022	2.52	0.83	19.04	325.76	7.91	7.71	83.23	7.17	3.89	40.80	4.62	18.95	290.7	0.16	0.01	1.33	2.03	0.63	4.00	0.22	33.58	50.65	15.70	3.35	3.66	19.92	23.27	7.16
A2295	38.32177	-121.68711	Cache Slough Complex	Stairstep	May-2022	2.17	0.75	18.99	309.95	7.98	7.63	82.34	8.93	3.34	38.47	3.83	18.91	274.6	0.15	0.00	1.32	1.37	0.49	3.17	0.08	42.37	42.45	15.60	2.93	3.49	18.99	21.92	6.02
A2297	38.32178	-121.69073	Cache Slough Complex	Stairstep	May-2022	2.44	0.84	19.01	319.99	7.93	7.67	82.75	8.05	3.68	39.94	4.31	18.92	283.9	0.16	0.00	1.31	1.76	0.58	3.65	0.06	36.60	47.71	15.86	3.28	3.60	19.58	22.85	6.62
A2307	38.32204	-121.66722	Cache Slough Complex	Liberty Cut	May-2022	1.66	0.24	19.28	254.82	8.62	8.28	89.79	8.03	2.40	30.00	2.51	19.24	229.8	0.12	0.00	1.09	0.33	0.48	1.89	0.00	51.62	17.42	25.24	1.90	2.86	15.60	17.49	4.12
A2293	38.32312	-121.68477	Cache Slough Complex	Stairstep	May-2022	2.02	0.73	19.01	302.15	8.04	7.66	82.66	8.94	3.18	37.41	3.59	18.93	269.4	0.15	0.00	1.30	1.15	0.46	2.89	0.06	45.27	38.92	16.21	2.74	3.41	18.56	21.31	5.66
